"resp.id";"ques";"alt";"Price";"Duration";"Accommodation";"Transport";"Destination";"choice"
1;1;1;"500";"10";"budget";"train";"Greece";0
1;1;2;"500";"10";"budget";"plane";"Greece";0
1;1;3;"500";"5";"5stars";"bus";"Turkey";1
1;1;4;"2500";"2";"5stars";"train";"Spain";0
1;2;1;"800";"10";"5stars";"plane";"Greece";0
1;2;2;"1500";"10";"5stars";"plane";"Turkey";0
1;2;3;"500";"5";"3stars";"plane";"Spain";0
1;2;4;"800";"10";"5stars";"plane";"Turkey";1
1;3;1;"2500";"5";"3stars";"plane";"Spain";0
1;3;2;"1500";"5";"budget";"bus";"Spain";0
1;3;3;"2500";"2";"budget";"train";"Portugal";1
1;3;4;"1500";"2";"3stars";"train";"Greece";0
1;4;1;"500";"2";"budget";"train";"Turkey";0
1;4;2;"1500";"5";"5stars";"plane";"Portugal";0
1;4;3;"1500";"10";"5stars";"bus";"Portugal";0
1;4;4;"1500";"2";"5stars";"plane";"Spain";1
1;5;1;"1500";"10";"3stars";"bus";"Portugal";1
1;5;2;"800";"5";"5stars";"train";"Greece";0
1;5;3;"1500";"10";"budget";"train";"Turkey";0
1;5;4;"2500";"10";"3stars";"bus";"Spain";0
1;6;1;"500";"2";"3stars";"train";"Portugal";0
1;6;2;"2500";"5";"5stars";"plane";"Spain";1
1;6;3;"1500";"10";"5stars";"train";"Greece";0
1;6;4;"2500";"2";"3stars";"train";"Spain";0
1;7;1;"800";"10";"budget";"train";"Spain";0
1;7;2;"1500";"2";"budget";"plane";"Greece";0
1;7;3;"500";"2";"5stars";"plane";"Spain";1
1;7;4;"800";"5";"5stars";"bus";"Turkey";0
1;8;1;"500";"5";"3stars";"train";"Greece";0
1;8;2;"2500";"2";"3stars";"plane";"Turkey";0
1;8;3;"1500";"2";"5stars";"bus";"Portugal";1
1;8;4;"2500";"5";"3stars";"plane";"Turkey";0
1;9;1;"2500";"10";"budget";"bus";"Turkey";0
1;9;2;"2500";"10";"budget";"plane";"Portugal";1
1;9;3;"1500";"10";"5stars";"bus";"Turkey";0
1;9;4;"1500";"5";"5stars";"bus";"Greece";0
1;10;1;"800";"5";"3stars";"bus";"Turkey";0
1;10;2;"800";"10";"3stars";"train";"Greece";0
1;10;3;"500";"2";"5stars";"plane";"Greece";1
1;10;4;"2500";"10";"3stars";"bus";"Greece";0
1;11;1;"800";"2";"budget";"train";"Greece";0
1;11;2;"800";"10";"3stars";"plane";"Greece";0
1;11;3;"2500";"2";"3stars";"plane";"Greece";0
1;11;4;"500";"2";"3stars";"plane";"Turkey";1
1;12;1;"800";"2";"5stars";"bus";"Greece";1
1;12;2;"1500";"2";"budget";"train";"Spain";0
1;12;3;"2500";"2";"3stars";"bus";"Greece";0
1;12;4;"800";"10";"5stars";"train";"Portugal";0
1;13;1;"800";"5";"budget";"train";"Greece";0
1;13;2;"800";"5";"budget";"plane";"Turkey";0
1;13;3;"1500";"5";"budget";"bus";"Portugal";0
1;13;4;"800";"5";"3stars";"plane";"Greece";1
1;14;1;"2500";"2";"budget";"bus";"Portugal";0
1;14;2;"800";"10";"budget";"plane";"Greece";1
1;14;3;"800";"5";"3stars";"train";"Spain";0
1;14;4;"2500";"5";"5stars";"bus";"Greece";0
1;15;1;"1500";"5";"3stars";"plane";"Greece";0
1;15;2;"500";"10";"3stars";"bus";"Spain";1
1;15;3;"500";"5";"3stars";"train";"Spain";0
1;15;4;"800";"5";"budget";"train";"Portugal";0
1;16;1;"2500";"10";"3stars";"train";"Turkey";0
1;16;2;"500";"2";"5stars";"train";"Spain";0
